Grant Marshall,marshgr01,RW,147,700,92,147,239,16.9
Radek Martinek,martira01,D,7,486,25,85,110,22.3
Greg Mauldin,mauldgr01,C,6,36,5,5,10,1.1
Maksim Mayorov,mayorma01,LW,22,22,2,1,3,0.0
Kent McDonell,mcdonke01,RW,32,32,1,2,3,-0.3
Adam McQuaid,mcquaad01,D,14,512,16,57,73,21.3
Sonny Milano,milanso01,LW,70,70,15,9,24,2.3
Fredrik Modin,modinfr01,LW,176,898,232,230,462,47.0
Greg Moore,mooregr01,RW,4,10,0,0,0,-0.2
John Moore,moorejo01,D,86,508,36,76,112,24.0
Brad Moran,moranbr01,C,5,8,1,2,3,0.3
Ethan Moreau,moreaet01,LW,37,928,147,140,287,21.5
Jeremy Morin,morinje01,LW,28,82,10,12,22,2.4
Tyler Motte,mottety01,C,31,153,18,12,30,1.5
Joe Motzko,motzkjo01,RW,11,25,4,2,6,0.6
Andrew Murray,murraan01,C,181,221,24,16,40,2.6
Riley Nash,nashri02,C,78,477,56,95,151,12.3
Andrej Nedorost,nedoran01,LW,28,28,2,3,5,0.0
Chris Nielsen,nielsch01,RW,52,52,6,8,14,1.4
Nikita Nikitin,nikitni01,D,158,259,17,59,76,14.4
Filip Novak,novakfi01,D,6,17,0,0,0,0.1
Jiri Novotny,novotji01,C,107,189,20,31,51,1.9
Petteri Nummelin,nummepe01,D,61,139,9,36,45,7.0
Lyle Odelein,odelely01,D,146,1056,50,202,252,60.4
Krzysztof Oliwa,oliwakr01,LW,10,410,17,28,45,0.7
Nathan Paetsch,paetsna01,D,10,167,7,35,42,7.0
Michael Paliotta,paliomi01,D,1,2,0,1,1,0.1
Artemi Panarin,panarar01,LW,160,322,116,204,320,38.3
Mike Pandolfo,pandomi01,LW,3,3,0,0,0,-0.1
Michael Peca,pecami01,C,136,864,176,289,465,42.2
Alexandre Picard,picaral02,LW,67,67,0,2,2,-1.1
Adam Pineault,pineaad01,RW,3,3,0,0,0,-0.1
Lasse Pirjeta,pirjela01,C,108,146,23,27,50,5.2
Geoff Platt,plattge01,C,41,46,4,10,14,1.0
Sean Pronger,prongse01,C,104,260,23,36,59,1.4
Vinny Prospal,prospva01,C,130,1108,255,510,765,74.5
Jamie Pushor,pushoja01,D,147,521,14,46,60,17.4
Kyle Quincey,quincky01,D,20,586,36,122,158,34.2
Deron Quint,quintde01,D,132,463,46,97,143,21.8
John Ramage,ramagjo01,D,1,2,0,0,0,-0.2
Jeremy Reich,reichje01,LW,9,99,2,4,6,-1.3
Luke Richardson,richalu01,D,190,1417,35,166,201,45.5
Craig Rivet,rivetcr01,D,14,923,50,187,237,52.2
Eric Robinson,robiner01,LW,14,14,0,0,0,-0.4
Todd Rohloff,rohloto01,D,24,75,0,6,6,0.6
Aaron Rome,romeaa01,D,25,226,6,22,28,5.2
Mathieu Roy,royma01,D,31,66,2,11,13,1.7
Mike Rupp,ruppmi01,C,39,610,54,45,99,6.5
Ryan Russell,russery01,C,41,41,2,0,2,-0.7
Kerby Rychel,rycheke01,LW,37,43,3,11,14,1.4
Brandon Saad,saadbr01,LW,160,530,148,166,314,36.6
Peter Sarno,sarnope01,C,1,7,1,0,1,0.2
Jordan Schroeder,schrojo01,C,21,165,18,24,42,4.0
Nick Schultz,schulni01,D,9,1069,30,145,175,48.2
Darrel Scoville,scovida01,D,10,16,0,1,1,0.2
Lukas Sedlak,sedlalu01,C,162,162,15,12,27,2.0
Alex Selivanov,selival01,RW,59,459,121,114,235,22.3
Sean Selmser,selmsse01,LW,1,1,0,0,0,0.0
Tom Sestito,sestito01,LW,13,154,10,11,21,0.9
Cam Severson,severca01,LW,4,37,3,0,3,0.2
Kole Sherwood,sherwko01,RW,2,2,0,0,0,0.0
Mike Sillinger,sillimi01,C,155,1049,240,308,548,40.9
Ben Simon,simonbe01,LW,13,81,3,1,4,-0.7
Jack Skille,skillja01,RW,61,368,43,41,84,5.3
Blake Sloan,sloanbl01,RW,74,290,11,32,43,0.2
Jaroslav Spacek,spaceja01,D,153,880,82,273,355,69.3
Martin Spanhel,spanhma01,LW,10,10,2,0,2,0.1
Frédéric St. Denis,stdenfr01,D,4,21,1,3,4,1.1
Kevin Stenlund,stenlke01,C,4,4,0,0,0,-0.1
Anton Stralman,stralan01,D,124,749,47,195,242,48.8
Radoslav Suchy,suchyra01,D,79,451,13,58,71,18.4
Alexander Svitov,svitoal01,C,105,179,13,24,37,1.1
Darryl Sydor,sydorda01,D,49,1291,98,409,507,94.0
Dick Tarnstrom,tarnsdi01,D,19,306,35,105,140,18.4
Alexandre Texier,texieal01,C,2,2,1,0,1,0.3
Mattias Timander,timanma01,D,154,419,13,57,70,14.4
Ole-Kristian Tollefsen,tolleol01,D,145,163,4,8,12,3.9
Raffi Torres,torrera01,LW,111,635,137,123,260,28.4
Corey Tropp,troppco01,RW,105,149,6,21,27,0.8
T.J. Tynan,tynant.01,C,3,3,0,0,0,-0.1
Dana Tyrell,tyrelda01,C/RW,3,135,7,17,24,0.0
Scottie Upshall,upshasc01,LW,21,759,138,146,284,29.4
Darren Van Impe,vanimda01,D,14,411,25,90,115,22.4
Thomas Vanek,vanekth01,LW,19,1029,373,416,789,95.9
Derrick Walser,walsede01,D,91,91,8,21,29,4.5
Ray Whitney,whitnra01,LW,151,1330,385,679,1064,108.0
Jason Williams,willija01,C,39,455,94,133,227,22.3
Clay Wilson,wilsocl01,D,12,36,4,4,8,1.9
Kyle Wilson,wilsoky01,C,32,39,4,9,13,1.0
Mike York,yorkmi01,LW,1,579,127,195,322,27.6
